Bank Code,Sort Code,Bank,Branch, Sort Code Component (Bank), Sort Code Component (Clearing Zone), Sort Code Component (Branch)
010100,010101,Bank of Ghana,ACCRA,01,01,01
010100,010303,Bank of Ghana,AGONA SWEDRU,01,03,03
010100,010401,Bank of Ghana,TAKORADI,01,04,01
010100,010402,Bank of Ghana,SEFWI BOAKO,01,04,02
010100,010601,Bank of Ghana,KUMASI,01,06,01
010100,010701,Bank of Ghana,SUNYANI,01,07,01
010100,010801,Bank of Ghana,TAMALE,01,08,01
010100,011101,Bank of Ghana,HOHOE,01,11,01
020100,020101,Standard Chartered Bank,HIGH STREET,02,01,01
020100,020103,Standard Chartered Bank,KORLE DUDOR,02,01,03
020100,020104,Standard Chartered Bank,LIBERIA ROAD,02,01,04
020100,020105,Standard Chartered Bank,OPEIBEA HOUSE,02,01,05
020100,020106,Standard Chartered Bank,TEMA,02,01,06
020100,020107,Standard Chartered Bank,TUDU,02,01,07
020100,020108,Standard Chartered Bank,LEGON,02,01,08
020100,020112,Standard Chartered Bank,OSU,02,01,12
020100,020114,Standard Chartered Bank,RING ROAD CENTRAL,02,01,14
020100,020118,Standard Chartered Bank,SPINTEX,02,01,18
020100,020121,Standard Chartered Bank,DANSOMAN,02,01,21
020100,020126,Standard Chartered Bank,ABEKA,02,01,26
020100,020127,Standard Chartered Bank,ACHIMOTA,02,01,27
020100,020128,Standard Chartered Bank,MADINA,02,01,28
020100,020422,Standard Chartered Bank,TAKORADI HARBOUR,02,04,22
020100,020424,Standard Chartered Bank,TARKWA,02,04,24
020100,020613,Standard Chartered Bank,KEJETIA,02,06,13
020100,020615,Standard Chartered Bank,HARPER ROAD,02,06,15
020100,020617,Standard Chartered Bank,OBUASI,02,06,17
020100,020720,Standard Chartered Bank,TECHIMAN,02,07,20
020100,020823,Standard Chartered Bank,TAMALE,02,08,23
030100,030101,Barclays Bank,KASOA,03,01,01
030100,030104,Barclays Bank,A AND C MALL,03,01,04
030100,030105,Barclays Bank,ACCRA MALL,03,01,05
030100,030106,Barclays Bank,ABEKA LAPAZ,03,01,06
030100,030107,Barclays Bank,DANSOMAN,03,01,07
030100,030108,Barclays Bank,GNPC,03,01,08
030100,030109,Barclays Bank,NIMA,03,01,09
030100,030110,Barclays Bank,LEGON,03,01,10
030100,030111,Barclays Bank,ACHIMOTA,03,01,11
030100,030112,Barclays Bank,OSU,03,01,12
030100,030114,Barclays Bank,RING ROAD CENTRAL,03,01,14
030100,030116,Barclays Bank,BCM,03,01,16
030100,030117,Barclays Bank,MOTORWAY EXT,03,01,17
030100,030121,Barclays Bank,SPINTEX MAIN,03,01,21
030100,030122,Barclays Bank,KNUTSFORD AVENUE,03,01,22
030100,030125,Barclays Bank,LEGON MAIN,03,01,25
030100,030130,Barclays Bank,TEMA FISHING HARBOUR,03,01,30
030100,030135,Barclays Bank,MAKOLA SQUARE,03,01,35
030100,030136,Barclays Bank,AIRPORT CITY,03,01,36
030100,030141,Barclays Bank,CIRCLE,03,01,41
030100,030144,Barclays Bank,ACCRA CORPORATE SERVICE CENTRE,03,01,44
030100,030145,Barclays Bank,SPINTEX PRESTIGE,03,01,45
030100,030148,Barclays Bank,HIGH STREET,03,01,48
030100,030149,Barclays Bank,DIRECT SALES,03,01,49
030100,030154,Barclays Bank,AVENUE CENTRAL,03,01,54
030100,030155,Barclays Bank,UNDP,03,01,55
030100,030160,Barclays Bank,TEMA MAIN,03,01,60
030100,030161,Barclays Bank,SME CENTRE,03,01,61
030100,030162,Barclays Bank,AGBOBLOSHIE,03,01,62
030100,030163,Barclays Bank,MADINA,03,01,63
030100,030164,Barclays Bank,HEAD OFFICE,03,01,64
030100,030165,Barclays Bank,WINNEBA,03,01,65
030100,030168,Barclays Bank,TESHIE NUNGUA,03,01,68
030100,030169,Barclays Bank,ACCRA NEWTOWN,03,01,69
030100,030170,Barclays Bank,DOME,03,01,70
030100,030173,Barclays Bank,DARKUMAN,03,01,73
030100,030175,Barclays Bank,INDEPENDENCE AVENUE,03,01,75
030100,030179,Barclays Bank,WEIJA,03,01,79
030100,030184,Barclays Bank,ASHAIMAN,03,01,84
030100,030185,Barclays Bank,HAATSO,03,01,85
030100,030186,Barclays Bank,SOMANYA,03,01,86
030100,030187,Barclays Bank,KANESHIE,03,01,87
030100,030189,Barclays Bank,TEMA OIL REFINERY,03,01,89
030100,030190,Barclays Bank,NORTH KANESHIE,03,01,90
030100,030191,Barclays Bank,MAAMOBI,03,01,91
030100,030192,Barclays Bank,OFFSHORE BANKING,03,01,92
030100,030193,Barclays Bank,MATAHEKO,03,01,93
030100,030194,Barclays Bank,ADENTA,03,01,94
030100,030195,Barclays Bank,ABOSSEY OKAI,03,01,95
030100,030196,Barclays Bank,KOTOBABI,03,01,96
030100,030197,Barclays Bank,PALM WINE JUNCTION,03,01,97
030100,030242,Barclays Bank,KOFORIDUA,03,02,42
030100,030243,Barclays Bank,NKAWKAW,03,02,43
030100,030246,Barclays Bank,ODA,03,02,46
030100,030247,Barclays Bank,NSAWAM,03,02,47
030100,030337,Barclays Bank,CAPE COAST,03,03,37
030100,030367,Barclays Bank,MANKESSIM,03,03,67
030100,030399,Barclays Bank,TWIFO PRASO,03,03,99
030100,030431,Barclays Bank,HIGH STREET-TAKORADI,03,04,31
030100,030432,Barclays Bank,LIBERATION ROAD-TAKORADI,03,04,32
030100,030434,Barclays Bank,TARKWA,03,04,34
030100,030451,Barclays Bank,TARKWA MINES,03,04,51
030100,030452,Barclays Bank,ASANKRAGUA,03,04,52
030100,030456,Barclays Bank,TAKORADI KOKOMPE,03,04,56
030100,030498,Barclays Bank,ELUBO,03,04,98
030100,030539,Barclays Bank,HO,03,05,39
030100,030540,Barclays Bank,HOHOE,03,05,40
030100,030572,Barclays Bank,AFLAO,03,05,72
030100,030623,Barclays Bank,ASAFO,03,06,23
030100,030627,Barclays Bank,PREMPEH II STREET,03,06,27
030100,030628,Barclays Bank,KEJETIA- KUMASI,03,06,28
030100,030638,Barclays Bank,OBUASI,03,06,38
030100,030653,Barclays Bank,NEW SUAME MAGAZINE,03,06,53
030100,030657,Barclays Bank,OLD SUAME MAGAZINE,03,06,57
030100,030658,Barclays Bank,AGOGO,03,06,58
030100,030666,Barclays Bank,ADUM,03,06,66
030100,030674,Barclays Bank,BANTAMA,03,06,74
030100,030676,Barclays Bank,SEFWI-WIASO,03,06,76
030100,030677,Barclays Bank,KONONGO,03,06,77
030100,030680,Barclays Bank,KROFOM,03,06,80
030100,030681,Barclays Bank,TANOSO,03,06,81
030100,030683,Barclays Bank,AHODWO,03,06,83
030100,030718,Barclays Bank,TECHIMAN,03,07,18
030100,030723,Barclays Bank,BEREKUM,03,07,23
030100,030750,Barclays Bank,SUNYANI,03,07,50
030100,030759,Barclays Bank,GOASO,03,07,59
030100,030771,Barclays Bank,TEPA,03,07,71
030100,030778,Barclays Bank,ATEBUBU,03,07,78
030100,030833,Barclays Bank,TAMALE,03,08,33
030100,030871,Barclays Bank,GUMANI,03,08,71
030100,030919,Barclays Bank,BOLGATANGA,03,09,19
030100,030926,Barclays Bank,BAWKU,03,09,26
030100,031088,Barclays Bank,WA,03,10,88
040100,040101,Ghana Commercial Bank,HIGH STREET,04,01,01
040100,040102,Ghana Commercial Bank,BURMA CAMP,04,01,02
040100,040103,Ghana Commercial Bank,LEGON,04,01,03
040100,040105,Ghana Commercial Bank,MINISTRIES,04,01,05
040100,040106,Ghana Commercial Bank,REPUBLIC HOUSE,04,01,06
040100,040107,Ghana Commercial Bank,TEMA MAIN,04,01,07
040100,040108,Ghana Commercial Bank,TEMA MARKET,04,01,08
040100,040109,Ghana Commercial Bank,TEMA INDUSTRIAL AREA,04,01,09
040100,040110,Ghana Commercial Bank,TEMA FISHING HARBOUR,04,01,10
040100,040111,Ghana Commercial Bank,RING ROAD WEST,04,01,11
040100,040112,Ghana Commercial Bank,KANESHIE MARKET,04,01,12
040100,040113,Ghana Commercial Bank,KORLEBU,04,01,13
040100,040114,Ghana Commercial Bank,OSU,04,01,14
040100,040115,Ghana Commercial Bank,DERBY AVENUE,04,01,15
040100,040116,Ghana Commercial Bank,BOUNDARY ROAD,04,01,16
040100,040117,Ghana Commercial Bank,LIBERTY HOUSE,04,01,17
040100,040118,Ghana Commercial Bank,ACCRA NEW TOWN,04,01,18
040100,040119,Ghana Commercial Bank,TRADE FAIR SITE,04,01,19
040100,040120,Ghana Commercial Bank,KANESHIE INDUSTRIAL AREA,04,01,20
040100,040121,Ghana Commercial Bank,ASHAIMAN,04,01,21
040100,040123,Ghana Commercial Bank,MADINA,04,01,23
040100,040125,Ghana Commercial Bank,CLEARING,04,01,25
040100,040126,Ghana Commercial Bank,TETTEH QUARSHIE CIRCLE,04,01,26
040100,040127,Ghana Commercial Bank,KWAME NKRUMAH CIRCLE,04,01,27
040100,040128,Ghana Commercial Bank,INTERNATIONAL TRADE FINANCE,04,01,28
040100,040129,Ghana Commercial Bank,GLOBAL TRANSFER SERVICES,04,01,29
040100,040130,Ghana Commercial Bank,TANTRA HILL,04,01,30
040100,040131,Ghana Commercial Bank,SOMANYA,04,01,31
